<<<***Successful Sequential Search***>>>

ID        Number of Comparison
-----      --------------------
1111          1
3352          2
4567          3
5678          4
6789          5
7890          6
8901          7
9012          8
1223          9
2113          10
8546          11
2374          12
4723          13
9573          14
3284          15
7474          16
8594          17
3589          18
5858          19
1925          20
Average Number of probes: 10.50

<<<***Unsuccessful Sequential Search***>>>

ID        Number of Comparison
-----      --------------------
9456          20
3584          20
2222          20
4319          20
4477          20
5710          20
5497          20
1502          20
1599          20
1504          20
1506          20
9943          20
8833          20
9944          20
6678          20
5555          20
5660          20
9911          20
6130          20
1613          20
Average Number of probes: 20.00

<<<***Successful Binary Search***>>>

ID        Number of Comparison
-----      --------------------
1111          5
3352          5
4567          9
5678          6
6789          7
7890          4
8901          6
9012          8
1223          4
2113          8
8546          7
2374          3
4723          2
9573          10
3284          6
7474          9
8594          9
3589          7
5858          5
1925          6
Average Number of probes: 6.30

<<<***Unsuccessful Binary Search***>>>

ID        Number of Comparison
-----      --------------------
9456          9
3584          6
2222          8
4319          8
4477          8
5710          6
5497          5
1502          5
1599          5
1504          5
1506          5
9943          10
8833          9
9944          10
6678          6
5555          5
5660          5
9911          10
6130          6
1613          5
Average Number of probes: 6.80

Storing with Division Method/Hash Table		Storing with Double Hashing Method/Hash Table

Array Index       ID						Array Index        ID
---------------   -----					    ----------------   -----
      0                                  7474                    0              8546
      1                                  1111                    1              7474
      2                                  1223                    2              1111
      3                                  3589                    3              1223
      4                                  2113                    4                -1
      5                                  1925                    5              2113
      6                                  2374                    6                -1
      7                                    -1                    7              2374
      8                                    -1                    8                -1
      9                                  7890                    9                -1
     10                                  8594                   10              7890
     11                                    -1                   11              8594
     12                                  5858                   12                -1
     13                                    -1                   13              5858
     14                                    -1                   14                -1
     15                                    -1                   15                -1
     16                                  4567                   16                -1
     17                                  5678                   17              4567
     18                                  6789                   18              5678
     19                                    -1                   19              6789
     20                                    -1                   20                -1
     21                                  8901                   21                -1
     22                                  3352                   22              8901
     23                                  9012                   23              3352
     24                                  4723                   24                -1
     25                                    -1                   25              4723
     26                                    -1                   26              3589
     27                                  9573                   27                -1
     28                                  3284                   28              9573
     29                                    -1                   29              3284
     30                                    -1                   30                -1
     31                                    -1                   31                -1
     32                                    -1                   32                -1
     33                                    -1                   33                -1
     34                                    -1                   34              9012
     35                                    -1                   35                -1
     36                                  8546                   36              1925
     37                                    -1                   37                -1
     38                                    -1                   38                -1
     39                                    -1                   39                -1
     40                                  8546                   40                -1

<<<***Succ/Division Method***>>>

ID        Number of Comparison
-----      --------------------
1111          1
3352          1
4567          1
5678          1
6789          1
7890          1
8901          1
9012          3
1223          1
2113          1
8546          1
2374          1
4723          1
9573          1
3284          1
7474          1
8594          1
3589          4
5858          1
1925          5
Average Number of probes: 1.45

<<<***Unsucc/Division Method***>>>

ID        Number of Comparison
-----      --------------------
9456          5
3584          1
2222          6
4319          3
4477          8
5710          2
5497          5
1502          4
1599          1
1504          2
1506          1
9943          3
8833          3
9944          2
6678          2
5555          3
5660          2
9911          1
6130          1
1613          4
Average Number of probes: 2.95

<<<***Succ/ Double Hashing Method***>>>

ID        Number of Comparison
-----      --------------------
1111          1
3352          1
4567          1
5678          1
6789          1
7890          1
8901          1
9012          2
1223          1
2113          1
8546          1
2374          1
4723          1
9573          1
3284          1
7474          1
8594          1
3589          2
5858          1
1925          3
Average Number of probes: 1.20

<<<***Unsucc/ Double Hashing Method***>>>

ID        Number of Comparison
-----      --------------------
9456          2
3584          2
2222          5
4319          3
4477          3
5710          2
5497          2
1502          3
1599          5
1504          2
1506          2
9943          2
8833          2
9944          2
6678          3
5555          3
5660          4
9911          3
6130          5
1613          4
Average Number of probes: 2.95

S u m m a r y  R e p o r t

--------------------------

**** ASL for Successful Search  ****

Sequential	Binary		Hashing Division   Double Hashing
---------------------------------------------------------
  10.506.30  1162082858827776.00  0.00

**** ASL for Unsuccessful Search ****

Sequential	Binary		Hashing Division   Double Hashing
---------------------------------------------------------
  20.006.80  0.00  0.00

*~ END ~*
