
65 65 65 65 65 65 65 65 65 65 
983 983 983 983 983 983 983 983 983 983 
65 65 65 65 65 65 65 65 65 65 
53 53 53 53 53 53 53 53 53 53 
673 673 673 673 673 673 673 673 673 673 
59 59 59 59 59 59 59 59 59 59 
123 123 123 123 123 123 123 123 123 123 
45 45 45 45 45 45 45 45 45 45 
11 11 11 11 11 11 11 11 11 11 
27 27 27 27 27 27 27 27 27 27 

Max: 983
Min: 11
Avg: 210.4

*--<Values greater than 100>--*
983
673
123

11 27 45 53 59 65 65 123 673 983 
11 27 45 53 59 65 65 123 673 983 
11 27 45 53 59 65 65 123 673 983 
11 27 45 53 59 65 65 123 673 983 
11 27 45 53 59 65 65 123 673 983 
11 27 45 53 59 65 65 123 673 983 
11 27 45 53 59 65 65 123 673 983 
11 27 45 53 59 65 65 123 673 983 
11 27 45 53 59 65 65 123 673 983 
11 27 45 53 59 65 65 123 673 983 
